note,startFrame,duration
79,91,1
84,101,1
77,105,1
79,107,1
79,199,1
84,210,1
77,213,1
79,215,1
74,292,1
69,292,1
65,292,1
72,293,1
67,293,1
64,293,1
74,295,2
70,295,2
67,295,2
74,300,1
69,300,1
65,300,1
72,301,1
67,301,1
64,301,1
74,303,2
70,303,2
67,303,2
74,308,1
69,308,1
65,308,1
72,309,1
67,309,1
64,309,1
74,311,2
70,311,2
67,311,2
74,316,1
69,316,1
65,316,1
72,317,1
67,317,1
64,317,1
74,319,2
70,319,2
67,319,2
81,353,1
74,353,1
79,354,1
72,354,1
82,356,1
79,356,1
74,356,1
81,376,1
74,376,1
79,377,1
72,377,1
82,379,1
79,379,1
74,379,1
69,460,1
62,460,1
67,462,1
60,462,1
70,464,1
67,464,1
62,464,1
69,483,1
62,483,1
67,485,1
60,485,1
70,487,1
67,487,1
62,487,1
64,609,1
60,609,1
64,613,1
60,613,1
43,620,1
43,624,1
48,627,1
43,632,1
48,635,1
50,640,1
46,641,1
65,645,1
64,647,1
43,655,1
48,658,1
50,663,1
46,664,1
65,668,1
64,670,1
65,676,1
64,678,1
38,752,1
36,754,1
43,756,1
36,759,1
38,775,1
36,777,1
43,779,1
36,782,1
38,783,1
36,785,1
43,787,1
36,790,1
38,799,1
36,801,1
43,803,1
36,806,1
38,807,1
36,809,1
43,811,1
38,815,1
36,817,1
43,819,1
36,822,1
38,823,1
36,825,1
43,827,1
65,1044,1
62,1044,1
64,1046,1
60,1046,1
67,1048,2
62,1048,2
65,1067,1
62,1067,1
64,1069,1
60,1069,1
67,1071,2
62,1071,2
65,1075,1
62,1075,1
64,1077,1
60,1077,1
67,1079,2
62,1079,2
65,1083,1
64,1085,1
60,1085,1
65,1087,1
64,1089,1
60,1089,1
65,1091,1
62,1091,1
64,1093,1
60,1093,1
67,1095,2
62,1095,2
65,1099,1
62,1099,1
64,1101,1
60,1101,1
67,1103,2
62,1103,2
65,1107,1
62,1107,1
64,1109,1
60,1109,1
67,1111,2
62,1111,2
65,1115,1
62,1115,1
64,1117,1
60,1117,1
67,1119,2
62,1119,2
65,1417,1
60,1418,2
65,1421,1
60,1422,2
65,1425,1
60,1426,3
65,1429,1
60,1430,2
65,1433,1
60,1434,3
62,1437,1
58,1437,1
55,1437,1
62,1439,1
57,1439,1
53,1439,1
50,1439,1
55,1442,1
60,1442,1
48,1442,1
65,1444,1
62,1444,1
57,1444,1
64,1446,1
60,1446,1
55,1446,1
67,1448,2
62,1448,2
57,1448,2
65,1452,1
57,1452,1
65,1456,1
57,1456,1
67,1458,1
62,1460,1
58,1460,1
55,1460,1
62,1462,1
57,1462,1
53,1462,1
50,1462,1
55,1465,1
60,1465,1
48,1465,1
65,1467,1
62,1467,1
57,1467,1
64,1469,1
60,1469,1
55,1469,1
67,1471,2
62,1471,2
57,1471,2
65,1475,1
62,1475,1
57,1475,1
64,1477,1
60,1477,1
55,1477,1
67,1479,2
62,1479,2
57,1479,2
57,1484,1
57,1488,1
65,1491,1
62,1491,1
57,1491,1
64,1493,1
60,1493,1
55,1493,1
67,1495,2
62,1495,2
57,1495,2
65,1499,1
62,1499,1
57,1499,1
64,1501,1
60,1501,1
55,1501,1
67,1503,2
62,1503,2
57,1503,2
65,1507,1
62,1507,1
57,1507,1
64,1509,1
60,1509,1
55,1509,1
67,1511,2
62,1511,2
57,1511,2
65,1515,1
62,1515,1
57,1515,1
64,1517,1
60,1517,1
55,1517,1
67,1519,2
62,1519,2
57,1519,2
