note,startFrame,duration
83,32,15
58,92,3
66,92,3
63,92,3
65,96,3
56,96,3
61,96,3
58,100,3
66,100,3
63,100,3
65,104,3
61,104,3
56,104,3
59,108,3
63,108,3
54,108,3
65,112,3
56,112,3
61,112,3
58,116,3
66,116,3
63,116,3
56,120,3
65,120,3
61,120,3
58,124,3
66,124,3
63,124,3
65,128,3
56,128,3
61,128,3
58,132,3
66,132,3
63,132,3
65,136,3
61,136,3
56,136,3
59,140,3
63,140,3
54,140,3
65,144,3
56,144,3
61,144,3
58,148,3
66,148,3
63,148,3
65,152,3
61,152,3
56,152,3
58,156,3
66,156,3
63,156,3
65,160,3
56,160,3
61,160,3
58,164,3
63,164,3
66,164,3
65,168,3
56,168,3
61,168,3
66,172,3
63,172,3
58,172,3
65,176,3
61,176,3
56,176,3
66,180,3
63,180,3
58,180,3
65,184,3
61,184,3
56,184,3
66,188,3
58,188,3
63,188,3
56,192,3
65,192,3
61,192,3
58,196,3
63,196,3
66,196,3
61,200,3
65,200,3
56,200,3
58,204,3
66,204,3
63,204,3
65,208,3
56,208,3
61,208,3
58,212,3
66,212,3
63,212,3
65,216,3
61,216,3
56,216,3
59,220,3
63,220,3
54,220,3
65,224,3
56,224,3
61,224,3
58,228,3
66,228,3
63,228,3
56,232,3
65,232,3
61,232,3
58,236,3
66,236,3
63,236,3
65,240,3
56,240,3
61,240,3
58,244,3
66,244,3
63,244,3
65,248,3
61,248,3
56,248,3
59,252,3
63,252,3
54,252,3
65,256,3
56,256,3
61,256,3
58,260,3
66,260,3
63,260,3
56,264,3
65,264,3
61,264,3
58,268,3
66,268,3
63,268,3
65,272,3
56,272,3
61,272,3
58,276,3
66,276,3
63,276,3
65,280,3
56,280,3
61,280,3
58,284,3
66,284,3
63,284,3
65,288,3
56,288,3
61,288,3
58,292,3
66,292,3
63,292,3
65,296,3
56,296,3
61,296,3
58,300,3
66,300,3
63,300,3
65,304,3
56,304,3
61,304,3
58,308,3
66,308,3
63,308,3
65,312,3
56,312,3
61,312,3
58,316,3
66,316,3
63,316,3
65,320,3
56,320,3
61,320,3
58,324,3
66,324,3
63,324,3
65,328,3
56,328,3
61,328,3
58,396,3
66,396,3
63,396,3
65,400,3
56,400,3
61,400,3
58,404,3
66,404,3
63,404,3
56,408,3
61,408,3
65,408,3
59,412,3
63,412,3
54,412,3
65,416,3
56,416,3
61,416,3
58,420,3
66,420,3
63,420,3
65,424,3
56,424,3
61,424,3
58,428,3
63,428,3
66,428,3
61,432,3
65,432,3
56,432,3
58,436,3
66,436,3
63,436,3
61,440,3
56,440,3
65,440,3
63,444,3
59,444,3
54,444,3
65,448,3
56,448,3
61,448,3
66,452,3
58,452,3
63,452,3
65,456,3
61,456,3
56,456,3
66,460,3
58,460,3
63,460,3
61,464,3
65,464,3
56,464,3
66,468,3
58,468,3
63,468,3
61,472,3
65,472,3
56,472,3
66,476,3
58,476,3
63,476,3
61,480,3
65,480,3
56,480,3
66,484,3
58,484,3
63,484,3
61,488,3
65,488,3
56,488,3
66,492,3
58,492,3
63,492,3
61,496,3
65,496,3
56,496,3
66,500,3
58,500,3
63,500,3
61,504,3
65,504,3
56,504,3
66,508,3
58,508,3
63,508,3
61,512,3
65,512,3
56,512,3
66,516,3
58,516,3
63,516,3
61,520,3
65,520,3
56,520,3
66,524,3
58,524,3
63,524,3
61,528,3
65,528,3
56,528,3
66,532,3
58,532,3
63,532,3
61,536,3
65,536,3
56,536,3
66,540,3
58,540,3
63,540,3
61,544,3
65,544,3
56,544,3
66,548,3
58,548,3
63,548,3
61,552,3
65,552,3
56,552,3
66,556,3
58,556,3
63,556,3
61,560,3
65,560,3
56,560,3
66,564,3
58,564,3
63,564,3
61,568,3
65,568,3
56,568,3
66,572,3
58,572,3
63,572,3
61,576,3
65,576,3
56,576,3
66,580,3
58,580,3
63,580,3
61,584,3
65,584,3
56,584,3
39,649,1
39,657,1
39,665,1
39,673,1
39,745,1
39,753,1
39,761,1
39,769,1
39,777,1
39,785,1
39,857,1
39,865,1
39,873,1
39,881,1
39,889,1
39,897,1
39,905,1
39,913,1
39,1049,1
39,1057,1
39,1065,1
39,1073,1
39,1081,1
39,1089,1
39,1097,1
39,1105,1
39,1113,1
39,1121,1
39,1129,1
39,1137,1
39,1145,1
39,1153,1
39,1161,1
39,1169,1
66,1443,6
73,1451,3
75,1455,3
70,1443,15
66,1459,3
70,1459,4
68,1463,3
65,1463,3
66,1467,4
70,1467,4
68,1472,3
65,1471,3
66,1475,5
73,1481,1
75,1483,3
70,1475,15
73,1487,3
66,1491,4
73,1497,2
75,1500,3
73,1504,3
70,1491,16
66,1635,3
70,1635,3
68,1639,3
65,1639,3
66,1644,3
70,1643,3
68,1647,3
65,1647,3
66,1651,4
73,1656,3
70,1651,8
63,1659,4
75,1659,4
70,1663,3
73,1663,3
70,1667,3
66,1667,3
68,1671,3
65,1671,3
66,1675,3
70,1675,3
68,1679,3
65,1679,3
66,1683,3
73,1688,3
70,1683,8
63,1691,3
75,1691,3
70,1695,3
73,1695,3
66,1699,3
70,1699,3
68,1703,3
65,1703,4
70,1707,3
66,1707,3
68,1712,3
65,1712,3
70,1716,3
66,1716,3
73,1720,3
75,1723,3
73,1727,3
70,1720,11
70,1731,4
66,1731,4
73,1736,3
68,1735,4
66,1739,3
70,1740,3
68,1743,3
65,1743,3
66,1747,3
73,1751,4
70,1747,8
75,1755,3
63,1755,3
73,1759,3
70,1759,3
65,1907,1
70,1920,1
70,1924,1
