note,startFrame,duration
64,10,7
59,10,7
68,10,8
56,20,1
57,53,1
64,53,1
61,53,1
61,58,1
64,58,1
56,60,1
57,93,1
64,93,1
61,93,1
61,98,1
64,98,1
56,100,6
61,100,6
64,100,6
49,100,7
60,110,5
56,110,5
48,110,5
63,110,5
61,120,5
64,120,5
56,120,5
45,120,6
59,130,6
54,130,7
63,130,7
47,130,7
61,140,7
64,140,7
56,140,7
49,140,7
60,150,6
56,150,7
63,150,7
48,150,7
64,160,4
56,160,4
61,160,4
45,160,6
57,170,1
47,170,1
61,170,1
52,170,1
57,172,1
47,172,1
52,172,1
61,172,1
47,175,1
57,175,1
61,175,1
52,175,1
57,177,1
61,177,1
59,180,1
56,180,1
64,180,1
52,180,1
64,183,1
52,183,1
63,185,1
51,185,1
51,188,1
63,188,1
49,190,1
61,193,1
49,193,1
47,195,1
63,195,1
63,198,1
45,210,1
54,210,1
45,212,1
57,216,2
64,216,3
61,216,3
47,216,3
59,220,1
56,220,1
64,220,1
52,220,1
64,223,1
52,223,1
51,225,1
59,228,1
51,228,1
63,228,1
49,230,1
61,233,1
49,233,1
59,235,1
47,235,1
63,235,1
63,238,1
47,238,1
45,240,1
61,243,1
44,245,1
59,248,1
45,250,1
56,250,1
57,256,2
47,256,2
64,256,2
61,256,2
56,260,8
64,260,9
61,260,9
56,270,9
60,270,9
63,270,10
40,300,1
39,305,1
37,310,1
35,315,1
33,320,1
32,325,1
33,330,1
35,333,5
40,340,1
39,345,1
37,350,1
35,355,1
33,360,1
32,365,1
33,370,1
35,373,3
36,377,2
37,380,9
36,390,10
33,400,10
35,410,6
32,416,1
35,418,1
37,420,10
36,430,8
33,440,9
35,450,1
35,452,1
47,457,1
40,460,1
39,465,1
37,470,2
35,475,2
47,477,1
33,480,1
32,485,2
33,490,3
35,493,1
35,496,1
40,500,1
39,505,2
37,510,2
35,513,1
47,516,1
33,520,2
32,525,2
33,530,2
35,533,1
35,536,1
36,537,2
37,540,3
49,543,2
37,546,1
36,550,3
36,553,3
36,557,2
64,589,1
49,589,1
49,593,1
56,609,1
57,613,5
64,613,5
47,613,5
61,613,5
64,629,1
49,629,1
49,633,1
56,649,1
57,653,3
64,653,3
47,653,3
61,653,3
48,657,2
61,659,7
64,659,7
68,659,7
49,659,7
48,669,7
63,669,7
60,669,7
68,669,7
64,679,7
57,679,7
68,679,7
61,679,8
63,689,5
59,689,6
66,689,6
64,699,3
61,699,3
68,699,4
63,709,3
68,709,3
60,709,3
64,719,6
68,719,6
57,719,6
61,719,7
57,729,1
64,729,1
61,729,2
47,729,3
57,732,1
64,732,1
61,732,1
64,734,1
57,734,1
61,734,1
47,735,1
57,737,1
61,737,1
64,737,1
59,739,1
68,739,1
68,743,1
63,744,1
66,744,1
59,744,1
61,749,1
56,749,1
64,749,1
54,754,1
63,754,1
59,758,1
61,763,1
59,764,1
59,768,1
56,769,1
57,775,2
61,775,2
64,775,2
64,779,1
59,779,1
68,779,1
59,784,1
63,784,1
66,784,1
56,789,1
61,789,1
64,789,1
59,798,1
61,799,1
57,799,1
61,803,1
59,804,1
56,804,1
61,815,1
57,815,1
64,815,1
64,819,6
61,819,7
68,819,7
63,829,6
60,829,7
68,829,7
68,839,7
61,871,1
61,881,1
59,883,1
56,887,1
56,891,1
54,894,1
61,911,2
61,921,1
56,931,1
54,936,1
61,952,1
63,955,2
64,965,2
63,969,1
61,972,1
59,976,1
64,993,1
63,995,2
64,1006,1
63,1009,1
61,1012,1
59,1016,1
59,1020,1
64,1026,1
68,1032,1
68,1036,1
68,1039,1
68,1046,1
68,1056,1
66,1057,1
64,1063,2
68,1072,1
68,1076,1
68,1086,2
68,1096,1
66,1097,1
71,1116,4
68,1120,1
68,1127,1
52,1233,1
54,1237,1
56,1247,2
54,1250,1
52,1253,1
51,1257,1
64,1273,1
66,1277,2
68,1287,1
66,1290,1
63,1297,1
71,1313,1
64,1313,1
71,1317,1
64,1317,1
71,1327,2
64,1327,2
64,1337,1
71,1337,1
69,1338,1
63,1338,1
66,1353,1
63,1353,1
71,1353,1
61,1357,1
71,1357,1
64,1357,1
68,1364,1
59,1364,1
61,1364,1
61,1367,1
64,1367,1
57,1367,2
71,1367,2
71,1371,1
59,1374,1
56,1374,1
68,1374,1
59,1377,1
63,1377,1
71,1377,1
69,1378,1
49,1479,5
64,1479,10
51,1488,6
63,1489,5
52,1498,6
64,1499,9
63,1509,7
54,1508,9
64,1519,5
61,1519,5
66,1528,6
63,1528,6
68,1538,8
64,1538,8
83,1554,1
76,1593,2
64,1593,2
47,1593,3
35,1593,3
64,1633,1
76,1633,1
47,1633,2
35,1633,3
64,1639,4
61,1639,5
66,1648,5
63,1648,7
68,1658,7
64,1658,7
56,1765,9
64,1765,9
61,1765,9
54,1775,9
63,1775,10
60,1775,10
56,1785,9
61,1785,9
64,1785,9
54,1795,9
59,1795,10
63,1795,10
56,1805,8
61,1805,9
64,1805,9
54,1815,8
60,1815,10
63,1815,10
61,1825,9
64,1825,9
56,1825,9
57,1835,9
64,1835,9
61,1835,9
68,1925,3
61,1925,3
64,1925,3
64,1929,3
61,1929,3
64,1933,1
68,1933,2
61,1933,2
66,1935,5
63,1935,5
60,1935,5
68,1940,1
71,1940,2
66,1943,2
69,1943,2
68,1945,7
64,2117,6
62,2117,6
59,2117,6
60,2117,6
64,2303,1
76,2303,1
64,2320,1
76,2331,1
64,2333,1
64,2341,1
76,2351,1
64,2360,1
76,2371,1
36,2475,1
36,2481,1
36,2501,1
36,2551,1
36,2556,1
36,2561,1
36,2641,2
36,2648,1
36,2651,1
36,2658,1
59,2840,1
56,2840,1
64,2840,1
54,2845,1
59,2845,1
63,2845,1
64,2850,1
56,2850,1
61,2850,1
54,2855,1
59,2855,1
63,2855,1
61,2860,1
64,2860,1
57,2860,1
64,2865,1
56,2865,1
59,2865,1
64,2874,2
61,2874,2
57,2874,2
59,2880,1
56,2880,1
64,2880,1
59,2885,1
54,2885,1
63,2885,1
61,2890,1
64,2890,1
56,2890,1
56,2895,1
64,2895,1
64,2900,1
57,2900,1
64,2905,1
56,2905,1
61,2914,2
57,2914,2
64,2914,2
